"","subject","demog_question","demog_response","country"
"41","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","chineselanguage","Yes","US"
"42","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","lang_sp_zh","3","US"
"43","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","lang_ud_zh","7","US"
"44","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","vietnameselanguage","No","US"
"45","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","objectiveses","High school graduate/GED","US"
"46","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","subjectiveses","7","US"
"47","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","age","21","US"
"48","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","gender","Decline to answer","US"
"49","03d8519fdcb6dbee5d1066aaa8c77be65b2fd895bf8c46bc30eae54ff882d0b8","ethnic","Asian","US"
"50","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","country_born","Yes","US"
"51","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","current_in","Yes","US"
"52","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","state_grewup","Washington","US"
"53","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","abroadexp","No","US"
"54","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","overseaexpnum","No experiences","US"
"55","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","oversea_exp_regions",NA,"US"
"56","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","firstlanguage","No","US"
"57","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","monolingual","Yes, I am multilingual","US"
"58","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","chineselanguage","No","US"
"59","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","vietnameselanguage","No","US"
"60","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","objectiveses","One or more years of college, no degree","US"
"61","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","subjectiveses","8","US"
"62","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","age","19","US"
"63","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","gender","Female","US"
"64","048b307a2ba40e2ce75239dda6e45e92b99cee4968e8315efac0c74b6f9ce01c","ethnic","Hispanic or Latino","US"
"65","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","country_born","Yes","US"
"66","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","current_in","Yes","US"
"67","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","state_grewup","California","US"
"68","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","abroadexp","No","US"
"69","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","overseaexpnum","Three to five experiences","US"
"70","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","oversea_exp_regions",NA,"US"
"71","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","firstlanguage","Yes","US"
"72","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","monolingual","Yes, I am multilingual","US"
"73","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","chineselanguage","Yes","US"
"74","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","lang_sp_zh","7","US"
"75","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","lang_ud_zh","8","US"
"76","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","vietnameselanguage","No","US"
"77","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","objectiveses","High school graduate/GED","US"
"78","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","subjectiveses","7","US"
"79","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","age","21","US"
"80","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","gender","Male","US"
"81","061112c38c64cae54c26ab1bf72cededa4ca012f7d547e48627e9d9541db3778","ethnic","Asian","US"
"82","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","country_born","Yes","US"
"83","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","current_in","Yes","US"
"84","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","state_grewup","Washington","US"
"85","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","abroadexp","Yes","US"
"86","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","overseaexpnum","Six or more experiences","US"
"87","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","oversea_exp_regions","Europe","US"
"88","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","firstlanguage","Yes","US"
"89","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","monolingual","No, just English","US"
"90","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","chineselanguage","No","US"
"91","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","vietnameselanguage","No","US"
"92","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","objectiveses","Four-/Five-year college Bachelor's degree","US"
"93","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","subjectiveses","6","US"
"94","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","age","21","US"
"95","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","gender","Female","US"
"96","06961b1d2d26e25d46ffcdd312e288c2eed6efc8edda2aaeb7cbdd145bb48e22","ethnic","White","US"
"97","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","country_born","Yes","US"
"98","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","current_in","Yes","US"
"99","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","state_grewup","Massachusetts","US"
"100","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","abroadexp","No","US"
"101","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","overseaexpnum","Six or more experiences","US"
"102","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","oversea_exp_regions",NA,"US"
"103","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","firstlanguage","Yes","US"
"104","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","monolingual","Yes, I am multilingual","US"
"105","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","chineselanguage","Yes","US"
"106","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","lang_sp_zh","4","US"
"107","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","lang_ud_zh","5","US"
"108","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","vietnameselanguage","No","US"
"109","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","objectiveses","One or more years of college, no degree","US"
"110","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","subjectiveses","7","US"
"111","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","age","24","US"
"112","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","gender","Male","US"
"113","07ba5b5a3b0e393864054f3c9dc95df380f6130cc91a3e51b846043547c46b61","ethnic","Asian","US"
"114","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","country_born","Yes","US"
"115","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","current_in","Yes","US"
"116","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","state_grewup","Illinois","US"
"117","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","abroadexp","No","US"
"118","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","overseaexpnum","Six or more experiences","US"
"119","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","oversea_exp_regions",NA,"US"
"120","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","firstlanguage","Yes","US"
"121","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","monolingual","No, just English","US"
"122","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","chineselanguage","Yes","US"
"123","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","lang_sp_zh","2","US"
"124","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","lang_ud_zh","1","US"
"125","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","vietnameselanguage","No","US"
"126","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","objectiveses","Four-/Five-year college Bachelor's degree","US"
"127","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","subjectiveses","8","US"
"128","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","age","30","US"
"129","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","gender","Female","US"
"130","0a656b1740bf52afc9d925eecdd58a3059c322c42605d281268206628ef36a23","ethnic","White","US"
"131","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","country_born","Yes","US"
"132","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","current_in","Yes","US"
"133","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","state_grewup","California","US"
"134","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","abroadexp","No","US"
"135","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","overseaexpnum","No experiences","US"
"136","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","oversea_exp_regions",NA,"US"
"137","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","firstlanguage","Yes","US"
"138","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","monolingual","Yes, I am multilingual","US"
"139","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","chineselanguage","Yes","US"
"140","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","lang_sp_zh","5","US"
"141","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","lang_ud_zh","4","US"
"142","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","vietnameselanguage","Yes","US"
"143","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","lang_sp_vi","4","US"
"144","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","lang_ud_vi","4","US"
"145","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","objectiveses","Four-/Five-year college Bachelor's degree","US"
"146","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","subjectiveses","7","US"
"147","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","age","19","US"
"148","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","gender","Male","US"
"149","0b76bf80c732c6d0991bfcb2163bb4918400c57d709aa08b2cc8d045d94886ba","ethnic","Asian","US"
"150","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","country_born","Yes","US"
"151","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","current_in","Yes","US"
"152","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","state_grewup","Tennessee","US"
"153","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","abroadexp","Yes","US"
"154","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","overseaexpnum","Six or more experiences","US"
"155","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","oversea_exp_regions","Asia","US"
"156","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","firstlanguage","Yes","US"
"157","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","monolingual","Yes, I am multilingual","US"
"158","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","chineselanguage","Yes","US"
"159","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","lang_sp_zh","7","US"
"160","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","lang_ud_zh","8","US"
"161","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","vietnameselanguage","No","US"
"162","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","objectiveses","High school graduate/GED","US"
"163","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","subjectiveses","5","US"
"164","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","age","18","US"
"165","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","gender","Female","US"
"166","0d3f52e7b100e70a98b41c22ffb7ba0908d9c54ae0733fbc4f9dd2a7128f6dcd","ethnic","Asian","US"
"167","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","country_born","Yes","US"
"168","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","current_in","Yes","US"
"169","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","state_grewup","Michigan","US"
"170","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","abroadexp","No","US"
"171","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","overseaexpnum","One experience","US"
"172","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","oversea_exp_regions",NA,"US"
"173","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","firstlanguage","Yes","US"
"174","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","monolingual","No, just English","US"
"175","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","chineselanguage","Yes","US"
"176","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","lang_sp_zh","0","US"
"177","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","lang_ud_zh","3","US"
"178","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","vietnameselanguage","No","US"
"179","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","objectiveses","One or more years of college, no degree","US"
"180","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","subjectiveses","4","US"
"181","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","age","18","US"
"182","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","gender","Female","US"
"183","0dcb3b905466965b61ff758673663d308bfe170f7b7337d757224607585dd5a0","ethnic","Asian","US"
"184","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","country_born","No","US"
"185","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","current_in","Yes","US"
"186","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","state_grewup","Not applicable","US"
"187","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","abroadexp","Yes","US"
"188","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","overseaexpnum","Six or more experiences","US"
"189","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","oversea_exp_regions","South America","US"
"190","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","firstlanguage","No","US"
"191","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","monolingual","Yes, I am multilingual","US"
"192","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","chineselanguage","No","US"
"193","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","vietnameselanguage","No","US"
"194","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","objectiveses","High school graduate/GED","US"
"195","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","subjectiveses","5","US"
"196","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","age","18","US"
"197","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","gender","Female","US"
"198","0eaaf28e95917409536e603ea1369199c27bc88176c6f7c221eb573f95e2259b","ethnic","Hispanic or Latino","US"
"199","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","country_born","Yes","US"
"200","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","current_in","Yes","US"
"201","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","state_grewup","California","US"
"202","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","abroadexp","No","US"
"203","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","overseaexpnum","Six or more experiences","US"
"204","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","oversea_exp_regions",NA,"US"
"205","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","firstlanguage","Yes","US"
"206","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","monolingual","Yes, I am multilingual","US"
"207","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","chineselanguage","Yes","US"
"208","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","lang_sp_zh","8","US"
"209","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","lang_ud_zh","9","US"
"210","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","vietnameselanguage","No","US"
"211","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","objectiveses","At least some graduate school","US"
"212","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","subjectiveses","7","US"
"213","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","age","22","US"
"214","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","gender","Non-binary","US"
"215","10130c818da2358c4b35f096e879afeb669728fd3b90011e804a87ce98d1e8d3","ethnic","Asian","US"
"216","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","country_born","Yes","US"
"217","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","current_in","Yes","US"
"218","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","state_grewup","Utah","US"
"219","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","abroadexp","No","US"
"220","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","overseaexpnum","Three to five experiences","US"
"221","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","oversea_exp_regions",NA,"US"
"222","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","firstlanguage","Yes","US"
"223","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","monolingual","No, just English","US"
"224","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","chineselanguage","No","US"
"225","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","vietnameselanguage","No","US"
"226","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","objectiveses","High school graduate/GED","US"
"227","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","subjectiveses","2","US"
"228","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","age","18","US"
"229","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","gender","Male","US"
"230","11d2106d89a893b142ddd3d982887c6b006c614774be4f1728a517e6ddea0fc8","ethnic","White","US"
"231","1262c330349884dfea0eb4b52dd8c7160a0acf65b02f31a71c94b65ace4a2c1c","country_born","Yes","US"
"232","1262c330349884dfea0eb4b52dd8c7160a0acf65b02f31a71c94b65ace4a2c1c","current_in","Yes","US"
"233","1262c330349884dfea0eb4b52dd8c7160a0acf65b02f31a71c94b65ace4a2c1c","state_grewup","California","US"
"234","1262c330349884dfea0eb4b52dd8c7160a0acf65b02f31a71c94b65ace4a2c1c","abroadexp","No","US"
"235","1262c330349884dfea0eb4b52dd8c7160a0acf65b02f31a71c94b65ace4a2c1c","overseaexpnum","No experiences","US"
"236","1262c330349884dfea0eb4b52dd8c7160a0acf65b02f31a71c94b65ace4a2c1c","oversea_exp_regions",NA,"US"
"237","1262c330349884dfea0eb4b52dd8c7160a0acf65b02f31a71c94b65ace4a2c1c","firstlanguage","Yes","US"
