Cue_renamed,Cue,Tax.match,Theme.match,tax.frequency,theme.frequency,Tax.cosine_dist,Theme.cosine_dist,Tax.cosine_sim,Theme.cosine_sim
house,房子,小屋,花园,102,478,0.47063368558883700,0.6893504858016970,0.5293663144111630,0.3106495141983030
piano,钢琴,长笛,歌,295,928,0.33130425214767500,0.7408851981163030,0.6686957478523250,0.2591148018836980
trumpet,小号,小提琴,管弦乐队,21,0,0.6156045198440550,0.606709748506546,0.3843954801559450,0.393290251493454
frog,青蛙,乌龟,池塘,53,163,0.5105590522289280,0.5238139629364010,0.4894409477710720,0.47618603706359900
lilypad,睡莲,玫瑰花,池塘,6,37,0.648413747549057,0.5600284934043880,0.351586252450943,0.4399715065956120
dust,灰尘,灰烬,扫帚,0,15,0.5696638226509090,0.5639189183712010,0.4303361773490910,0.43608108162879900
elephant,大象,长颈鹿,动物园,102,0,0.5188441276550290,0.6066452860832210,0.4811558723449710,0.39335471391677900
ring,戒指,项链,手,852,1352,0.37920695543289200,0.725589245557785,0.6207930445671080,0.27441075444221500
hand,手,脚,手镯,6961,57,0.6810490787029270,0.7785893678665160,0.31895092129707300,0.2214106321334840
pencil,铅笔,钢笔,橡皮,77,238,0.28740358352661100,0.47207677364349400,0.7125964164733890,0.5279232263565060
pen,钢笔,铅笔,纸,77,107,0.28740358352661100,0.5287191271781920,0.7125964164733890,0.47128087282180800
net,网,绳子,鱼,35,2116,0.7679079473018650,0.6858890950679780,0.23209205269813500,0.3141109049320220
lake,湖,溪流,鱼,172,870,0.64435213804245,0.6802930235862730,0.35564786195755000,0.3197069764137270
ocean2,海洋,溪流,船,74,2046,0.7057499885559080,0.597576379776001,0.2942500114440920,0.402423620223999
flower,花朵,灌木,花瓶,39,39,0.5724837183952330,0.5119267702102660,0.42751628160476700,0.4880732297897340
can,罐,瓶,吸管,537,24,0.3140271306037900,0.6400633454322820,0.6859728693962100,0.3599366545677190
hammer,锤子,锯子,钉子,13,32,0.5309073328971860,0.5332608819007870,0.4690926671028140,0.46673911809921300
hat,帽子,皇冠,头,8,138,0.6652836501598360,0.7632731944322590,0.3347163498401640,0.2367268055677410
helmet,头盔,便帽,摩托车,0,47,0.6009258031845090,0.485601007938385,0.3990741968154910,0.514398992061615
soccer,足球,网球,球门,136,62,0.474107027053833,0.5467402935028080,0.525892972946167,0.4532597064971920
horse,马,驴,鞍,361,64,0.5102962851524350,0.633768618106842,0.4897037148475650,0.36623138189315800
school,学校,教堂,学生,189,44510,0.6487593948841100,0.32653969526290900,0.3512406051158910,0.6734603047370910
snow,雪,冰,山峰,401,173,0.49669307470321700,0.7549884468317030,0.5033069252967830,0.24501155316829700
kitchen,厨房,卧室,冰箱,456,346,0.3925875425338750,0.5329526662826540,0.6074124574661260,0.4670473337173460
knight,骑士,士兵,盔甲,67,94,0.6691780686378480,0.5429797470569610,0.3308219313621520,0.45702025294303900
lamp,灯,手电筒,桌子,175,211,0.43937206268310500,0.7574301660060880,0.5606279373168950,0.24256983399391200
gloves,手套,短裤,滑雪,15,12,0.6430495381355290,0.5557756721973420,0.35695046186447100,0.4442243278026580
mountain,山峰,悬崖,雪,25,179,0.6578911244869230,0.7549884468317030,0.3421088755130770,0.24501155316829700
mouth,嘴,鼻,牙刷,1648,33,0.5422222018241880,0.6781909763813020,0.45777779817581200,0.3218090236186980
movie,电影,卡通片,导演,64,8603,0.6149413585662840,0.3551182150840760,0.3850586414337160,0.6448817849159240
notepad,笔记本,书本,双肩包,16,0,0.49355876445770300,0.46899038553237900,0.5064412355422970,0.5310096144676210
ocean1,海洋,河流,鲸,177,846,0.5875461399555210,0.6851040422916410,0.41245386004447900,0.31489595770835900
onion2,洋葱,胡椒,炒锅,166,5,0.6045583784580230,0.6881187260150910,0.39544162154197700,0.31188127398490900
oyster,蚌,蛤蜊,珍珠,0,35,0.652879387140274,0.6404941082000730,0.34712061285972600,0.35950589179992700
watering can,洒水壶,桶,花朵,0,0,0.67464280128479,0.5748024582862850,0.32535719871521000,0.4251975417137150
pastry,蝴蝶酥,蛋糕,烘焙师,0,0,0.8026048839092260,0.9675431735813620,0.19739511609077500,0.03245682641863820
penguin,企鹅,鹅,雪,7,17,0.5832829475402830,0.749184787273407,0.4167170524597170,0.250815212726593
policeman,警察,老师,监狱,398,88,0.7587254047393800,0.5786708891391750,0.24127459526062000,0.4213291108608250
mailman,快递员,消防员,包裹,0,0,0.5669757425785070,0.6413390338420870,0.43302425742149400,0.3586609661579130
pot1,汤锅,平底锅,长柄勺,22,0,0.518255203962326,0.8763961419463160,0.48174479603767400,0.12360385805368400
pot2,汤锅,平底锅,炉灶,22,0,0.518255203962326,0.603235274553299,0.48174479603767400,0.39676472544670100
saw,锯子,锤子,木板,13,13,0.5309073328971860,0.6494891047477720,0.4690926671028140,0.3505108952522280
sink,洗脸盆,浴缸,肥皂,30,0,0.4147182106971740,0.6679628491401670,0.5852817893028260,0.33203715085983300
spider,蜘蛛,蚱蜢,网,9,732,0.5667601227760320,0.778287947177887,0.4332398772239690,0.22171205282211300
spoon1,勺,长柄勺,碗,0,92,0.9032141044735910,0.4422560930252080,0.09678589552640920,0.5577439069747930
sword,弯刀,匕首,海盗,0,5,0.45250898599624600,0.6020698845386510,0.5474910140037540,0.3979301154613500
tent,帐篷,小木屋,篝火,0,23,0.9250312894582750,0.5340883433818820,0.07496871054172520,0.4659116566181180
towel,毛巾,手帕,浴室,43,198,0.511480450630188,0.5249659419059750,0.488519549369812,0.47503405809402500
train,火车,公交车,轨道,0,277,0.40317410230636600,0.5037025511264800,0.596825897693634,0.4962974488735200
university,大学,学校,教授,12386,21403,0.37337422370910600,0.47326457500457800,0.6266257762908940,0.5267354249954220
doctor,医生,工程师,医院,86,4223,0.5291924178600310,0.32916682958602900,0.47080758213996900,0.670833170413971
peach,桃,李子,果核,170,0,0.5796568691730500,0.7510655671358110,0.4203431308269500,0.24893443286418900
