triad,cue_E,cue_frequency_E,word1_E,word1_frequency_E,word2_E,word2_frequency_E,word1_match_E,word1_match_frequency_E,word2_match_E,word2_match_frequency_E,word1_match_cosine_E,word2_match_cosine_E,word1_match_cosine_sim_E,word2_match_cosine_sim_E,cue_M,cue_frequency_M,word1_M,word1_frequency_M,word2_M,word2_frequency_M,word1_match_M,word1_match_frequency_M,word2_match_M,word2_match_frequency_M,word1_match_cosine_M,word2_match_cosine_M,word1_match_cosine_sim_M,word2_match_cosine_sim_M,cue_V,cue_frequency_V,word1_V,word1_frequency_V,word2_V,word2_frequency_V,word1_match_V,word1_match_frequency_V,word2_match_V,word2_match_frequency_V,word1_match_cosine_V,word2_match_cosine_V,word1_match_cosine_sim_V,word2_match_cosine_sim_V
mattress,mattress,7696,sheet,42366,blanket,19318,mattress - sheet,84,mattress - blanket,70,0.66903007,0.606582046,0.33096993,0.393417954,床垫,,床单,,毯子,,床垫 - 床单,,床垫 - 毯子,,0.431836963,0.577464491,0.568163037,0.422535509,nệm,,ga giường,,chăn,,nệm - ga giường,0,nệm - chăn,10,0.657022297,0.442393124,0.342977703,0.557606876
tea,tea,47503,soda,12515,lemonade,3263,tea - soda,127,tea - lemonade,108,0.610245407,0.559813172,0.389754593,0.440186828,茶,,苏打水,,柠檬水,,茶 - 苏打水,,茶 - 柠檬水,,0.74629271,0.634872198,0.25370729,0.365127802,trà,,nước ngọt,,nước chanh,,trà - nước ngọt,4,trà - nước chanh,3,0.698726952,0.698473543,0.301273048,0.301526457
wolf,wolf,29042,bear,45125,leopard,2389,wolf - bear,192,wolf - leopard,17,0.552742392,0.523173749,0.447257608,0.476826251,狼,,熊,,豹,,狼 - 熊,,狼 - 豹,,0.512432158,0.533513188,0.487567842,0.466486812,sói,,gấu,,báo,,sói - gấu,0,sói - báo,0,0.467112005,0.780248225,0.532887995,0.219751775
bird,bird,69662,lizard,4467,toad,2283,bird - lizard,19,bird - toad,4,0.546322703,0.629873663,0.453677297,0.370126337,鸟,,蜥蜴,,蟾蜍,,鸟 - 蜥蜴,,鸟 - 蟾蜍,,0.651637018,0.661744118,0.348362982,0.338255882,chim,,thằn lằn,,cóc,,chim - thằn lằn,0,chim - cóc,0,0.738961339,0.668411642,0.261038661,0.331588358
drawer,drawer,12435,shelf,21854,cabinet,22078,drawer - shelf,34,drawer - cabinet,190,0.417668223,0.436582565,0.582331777,0.563417435,抽屉,,架子,,储藏柜,,抽屉 - 架子,,抽屉 - 储藏柜,,0.668074489,0.437560678,0.331925511,0.562439322,ngăn kéo,,kệ,,tủ,,ngăn kéo - kệ,3,ngăn kéo - tủ,16,0.92228622,0.894050784,0.07771378,0.105949216
neck,neck,52214,chin,14538,shoulders,78062,neck - chin,319,neck - shoulders,983,0.464453936,0.443672001,0.535546064,0.556327999,脖子,,下巴,,肩膀,,脖子 - 下巴,,脖子 - 肩膀,,0.512755007,0.446767688,0.487244993,0.553232312,cổ,,cằm,,vai,,cổ - cằm,9,cổ - vai,67,0.703570545,0.733810753,0.296429455,0.266189247
floor,floor,122291,rug,9361,tile,10297,floor - rug,305,floor - tile,797,0.609390736,0.512351513,0.390609264,0.487648487,地,,小地毯,,瓷砖,,地 - 小地毯,,地 - 瓷砖,,0.987875058,0.798751622,0.012124942,0.201248378,sàn nhà,,thảm,,gạch,,sàn nhà - thảm,15,sàn nhà - gạch,7,0.786756918,0.815967396,0.213243082,0.184032604
leech,leech,1508,flea,3721,louse,1706,leech - flea,2,leech - louse,1,0.808906987,0.653344959,0.191093013,0.346655041,水蛭,,跳蚤,,虱子,,水蛭 - 跳蚤,,水蛭 - 虱子,,0.683770061,0.648463964,0.316229939,0.351536036,con đỉa,,bọ chét,,con rận,,con đỉa - bọ chét,0,con đỉa - con rận,0,0.645869732,0.136034608,0.354130268,0.863965392
balloon,balloon,12102,marbles,9297,doll,16714,balloon - marbles,0,balloon - doll,3,0.77300635,0.697512686,0.22699365,0.302487314,气球,,弹珠,,玩具娃娃,,气球 - 弹珠,,气球 - 玩具娃娃,,0.577744901,0.880317196,0.422255099,0.119682804,bong bóng,,viên bi,,búp bê,,bong bóng - viên bi,0,bong bóng - búp bê,0,0.791630223,0.912509032,0.208369777,0.087490968
singer,singer,24095,writer,96279,poet,20918,singer - writer,101,singer - poet,46,0.534638554,0.502398849,0.465361446,0.497601151,歌手,,作家,,诗人,,歌手 - 作家,,歌手 - 诗人,,0.510806948,0.593021035,0.489193052,0.406978965,ca sĩ,,nhà văn,,nhà thơ,,ca sĩ - nhà văn,0,ca sĩ - nhà thơ,0,0.979208864,0.980053481,0.020791136,0.019946519
robot,robot,20517,phone,194941,computer,139082,robot - phone,32,robot - computer,92,0.844422102,0.656063557,0.155577898,0.343936443,机器人,,电话,,电脑,,机器人 - 电话,,机器人 - 电脑,,0.749275178,0.549391031,0.250724822,0.450608969,người máy,,điện thoại,,máy vi tính,,người máy - điện thoại,0,người máy - máy vi tính,0,0.641025752,0.842056736,0.358974248,0.157943264
tongue,tongue,25612,teeth,46405,lips,48507,tongue - teeth,659,tongue - lips,893,0.582717955,0.392205894,0.417282045,0.607794106,舌头,,牙齿,,嘴唇,,舌头 - 牙齿,,舌头 - 嘴唇,,0.416807055,0.492700934,0.583192945,0.507299066,lưỡi,,răng,,môi,,lưỡi - răng,11,lưỡi - môi,29,0.617450029,0.542939007,0.382549971,0.457060993
garlic,garlic,18473,ginger,5005,cilantro,3417,garlic - ginger,957,garlic - cilantro,258,0.40207231,0.409051836,0.59792769,0.590948164,大蒜,,生姜,,香叶,,大蒜 - 生姜,,大蒜 - 香叶,,0.365682483,0.677392364,0.634317517,0.322607636,tỏi,,gừng,,ngò,,tỏi - gừng,35,tỏi - ngò,0,0.344828784,0.608755261,0.655171216,0.391244739
watermelon,watermelon,2676,papaya,930,grapefruit,2010,watermelon - papaya,15,watermelon - grapefruit,16,0.385801256,0.350423396,0.614198744,0.649576604,西瓜,,木瓜,,西柚,,西瓜 - 木瓜,,西瓜 - 西柚,,0.604177475,0.660283148,0.395822525,0.339716852,dưa hấu,,đu đủ,,bưởi,,dưa hấu - đu đủ,6,dưa hấu - bưởi,7,0.874431267,1.072798289,0.125568733,-0.072798289
heart,heart,216345,stomach,29089,lungs,22170,heart - stomach,418,heart - lungs,975,0.609595805,0.563607633,0.390404195,0.436392367,心脏,,胃,,肺,,心脏 - 胃,,心脏 - 肺,,0.613839149,0.555606008,0.386160851,0.444393992,tim,,dạ dày,,phổi,,tim - dạ dày,14,tim - phổi,89,0.955527522,0.421197295,0.044472478,0.578802705
coral,coral,7272,shark,15207,dolphin,9675,coral - shark,11,coral - dolphin,1,0.561777622,0.586304873,0.438222378,0.413695127,珊瑚,,鲨鱼,,海豚,,珊瑚 - 鲨鱼,,珊瑚 - 海豚,,0.609231204,0.49473685,0.390768796,0.50526315,san hô,,cá mập,,cá heo,,san hô - cá mập,0,san hô - cá heo,0,0.803896129,0.826079801,0.196103871,0.173920199
worm ,worm,10575,ant,9137,cockroach,2373,worm - ant,11,worm - cockroach,3,0.566186994,0.560806304,0.433813006,0.439193696,蠕虫,,蚂蚁,,蟑螂,,蠕虫 - 蚂蚁,,蠕虫 - 蟑螂,,0.624435127,0.698849648,0.375564873,0.301150352,giun,,kiến,,gián,,giun - kiến,0,giun - gián,0,0.669094414,0.6336447,0.330905586,0.3663553
coast,coast,53114,harbor,16291,pier,7851,coast - harbor,172,coast - pier,29,0.590401441,0.588772297,0.409598559,0.411227703,海岸,,港湾,,码头,,海岸 - 港湾,,海岸 - 码头,,0.585724622,0.689963818,0.414275378,0.310036182,bờ biển,,hải cảng,,cầu tàu,,bờ biển - hải cảng,0,bờ biển - cầu tàu,0,0.608397484,1.054802705,0.391602516,-0.054802705
mushroom,mushroom,11459,pumpkin,10608,eggplant,2406,mushroom - pumpkin,7,mushroom - eggplant,13,0.597767264,0.523806602,0.402232736,0.476193398,蘑菇,,南瓜,,茄子,,蘑菇 - 南瓜,,蘑菇 - 茄子,,0.480315208,0.591241598,0.519684792,0.408758402,nấm,,bí đỏ,,cà tím,,nấm - bí đỏ,0,nấm - cà tím,0,0.978884496,0.951704334,0.021115504,0.048295666
museum,museum,73559,playground,8054,park,135440,museum - playground,18,museum - park,778,0.662876248,0.51538229,0.337123752,0.48461771,博物馆,,操场,,公园,,博物馆 - 操场,,博物馆 - 公园,,0.701460689,0.436118841,0.298539311,0.563881159,bảo tàng,,sân chơi,,công viên,,bảo tàng - sân chơi,0,bảo tàng - công viên,8,0.697363287,0.899057105,0.302636713,0.100942895
waterfall,waterfall,4158,cave,18219,chasm,1710,waterfall - cave,26,waterfall - chasm,0,0.568685979,0.66024676,0.431314021,0.33975324,瀑布,,洞穴,,裂谷,,瀑布 - 洞穴,,瀑布 - 裂谷,,0.523566782,0.599565387,0.476433218,0.400434613,thác nước,,hang động,,vực sâu,,thác nước - hang động,4,thác nước - vực sâu,0,0.50055784,1.070076711,0.49944216,-0.070076711
orchid,orchid,3078,jasmine,4015,lotus,2341,orchid - jasmine,2,orchid - lotus,1,0.528278887,0.596984833,0.471721113,0.403015167,兰花,,茉莉花,,莲花,,兰花 - 茉莉花,,兰花 - 莲花,,0.62458691,0.467690289,0.37541309,0.532309711,hoa lan,,hoa nhài,,hoa sen,,hoa lan - hoa nhài,0,hoa lan - hoa sen,0,0.338752806,0.150059164,0.661247194,0.849940836
camel,camel,5552,rhinoceros,600,gorilla,4176,camel - rhinoceros,2,camel - gorilla,0,0.594831526,0.697548479,0.405168474,0.302451521,骆驼,,犀牛,,大猩猩,,骆驼 - 犀牛,,骆驼 - 大猩猩,,0.704375029,0.750277162,0.295624971,0.249722838,lạc đà,,tê giác,,khỉ đột,,lạc đà - tê giác,0,lạc đà - khỉ đột,0,0.629924864,0.866036803,0.370075136,0.133963197
popcorn,popcorn,5163,chips,35203,crackers,6170,popcorn - chips,59,popcorn - crackers,21,0.610325754,0.529691011,0.389674246,0.470308989,爆米花,,薯片,,梳打饼,,爆米花 - 薯片,,爆米花 - 梳打饼,,0.490756094,0.700793803,0.509243906,0.299206197,bắp rang,,khoai tây chiên,,bánh quy,,bắp rang - khoai tây chiên,0,bắp rang - bánh quy,0,0.45686686,0.561548412,0.54313314,0.438451588
electricity,electricity,26003,heat,82112,sunlight,13624,electricity - heat,658,electricity - sunlight,137,0.579971552,0.625237674,0.420028448,0.374762326,电,,热,,阳光,,电 - 热,,电 - 阳光,,0.615208179,0.721406996,0.384791821,0.278593004,điện,,nhiệt,,ánh nắng,,điện - nhiệt,76,điện - ánh nắng,0,0.61224699,0.743268996,0.38775301,0.256731004
camera,camera,99855,clock,29112,vacuum,10389,camera - clock,45,camera - vacuum,7,0.814061806,0.851349324,0.185938194,0.148650676,相机,,钟,,吸尘器,,相机 - 钟,,相机 - 吸尘器,,0.760838881,0.571133882,0.239161119,0.428866118,máy ảnh,,đồng hồ,,máy hút bụi,,máy ảnh - đồng hồ,0,máy ảnh - máy hút bụi,0,0.53815946,0.090384007,0.46184054,0.909615993
rock,rock,100028,soil,38159,crystal,18456,rock - soil,311,rock - crystal,116,0.685076445,0.701625645,0.314923555,0.298374355,石头,,土壤,,水晶,,石头 - 土壤,,石头 - 水晶,,0.743189245,0.649265528,0.256810755,0.350734472,đá,,đất,,thuỷ tinh,,đá - đất,82,đá - thuỷ tinh,0,0.791405484,0.989033495,0.208594516,0.010966505
crutch,crutch,2566,cane,8248,wheelchair,10213,crutch - cane,15,crutch - wheelchair,5,0.584357888,0.607935697,0.415642112,0.392064303,拐杖,,手杖,,轮椅,,拐杖 - 手杖,,拐杖 - 轮椅,,0.283331215,0.502445906,0.716668785,0.497554094,nạng,,gậy,,xe lăn,,nạng - gậy,0,nạng - xe lăn,3,0.563946873,0.861342967,0.436053127,0.138657033
musician,musician,24829,artist,101861,actor,58856,musician - artist,209,musician - actor,131,0.317241251,0.391410947,0.682758749,0.608589053,音乐家,,艺术家,,演员,,音乐家 - 艺术家,,音乐家 - 演员,,0.280786276,0.453007281,0.719213724,0.546992719,nhạc sĩ,,nghệ sĩ,,diễn viên,,nhạc sĩ - nghệ sĩ,23,nhạc sĩ - diễn viên,11,0.686184317,0.801251382,0.313815683,0.198748618
seller,seller,11683,shop,61038,market,210848,seller - shop,31,seller - market,240,0.618157864,0.605808377,0.381842136,0.394191623,销售员,,商店,,市场,,销售员 - 商店,,销售员 - 市场,,0.706778884,0.613300741,0.293221116,0.386699259,người bán hàng,,cửa hàng,,chợ,,người bán hàng - cửa hàng,0,người bán hàng - chợ,9,0.433649004,0.75415875,0.566350996,0.24584125
octopus,octopus,2297,starfish,739,jellyfish,1274,octopus - starfish,7,octopus - jellyfish,4,0.394890368,0.350102246,0.605109632,0.649897754,章鱼,,海星,,水母,,章鱼 - 海星,,章鱼 - 水母,,0.570184439,0.585348785,0.429815561,0.414651215,bạch tuộc,,sao biển,,sứa,,bạch tuộc - sao biển,0,bạch tuộc - sứa,0,0.825580671,0.814932108,0.174419329,0.185067892
shield,shield,13931,cannon,7396,spear,7038,shield - cannon,0,shield - spear,86,0.663414866,0.548080087,0.336585134,0.451919913,盾,,大炮,,矛,,盾 - 大炮,,盾 - 矛,,0.73155877,0.513533205,0.26844123,0.486466795,tấm khiên,,đại bác,,giáo,,tấm khiên - đại bác,0,tấm khiên - giáo,0,0.825636759,0.6817424,0.174363241,0.3182576
champion,champion,27593,athlete,40094,celebrity,24989,champion - athlete,86,champion - celebrity,15,0.568222165,0.736491263,0.431777835,0.263508737,冠军,,运动员,,名人,,冠军 - 运动员,,冠军 - 名人,,0.588397205,0.775579736,0.411602795,0.224420264,nhà vô địch,,vận động viên,,người nổi tiếng,,nhà vô địch - vận động viên,0,nhà vô địch - người nổi tiếng,0,0.716446936,0.523198843,0.283553064,0.476801157
town,town,173905,village,55217,city,433843,town - village,946,town - city,3539,0.255774796,0.253897488,0.744225204,0.746102512,小镇,,村庄,,城市,,小镇 - 村庄,,小镇 - 城市,,0.376813531,0.548055619,0.623186469,0.451944381,thị trấn,,làng,,thành phố,,thị trấn - làng,17,thị trấn - thành phố,84,0.719551414,0.777484149,0.280448586,0.222515851
glue,glue,5606,alcohol,36823,gasoline,12925,glue - alcohol,5,glue - gasoline,9,0.719308913,0.80966264,0.280691087,0.19033736,胶水,,酒精,,汽油,,胶水 - 酒精,,胶水 - 汽油,,0.696685135,0.735579401,0.303314865,0.264420599,hồ dán,,cồn,,xăng,,hồ dán - cồn,0,hồ dán - xăng,0,0.950479142,0.924342066,0.049520858,0.075657934
crow,crow,4678,sparrow,1558,eagle,21220,crow - sparrow,1,crow - eagle,21,0.511475861,0.519889355,0.488524139,0.480110645,乌鸦,,麻雀,,鹰,,乌鸦 - 麻雀,,乌鸦 - 鹰,,0.590841651,0.523434609,0.409158349,0.476565391,quạ,,chim sẻ,,đại bàng,,quạ - chim sẻ,0,quạ - đại bàng,0,0.525647879,0.712826967,0.474352121,0.287173033
peacock,peacock,1354,ostrich,846,owl,8139,peacock - ostrich,3,peacock - owl,2,0.529729545,0.56420061,0.470270455,0.43579939,孔雀,,鸵鸟,,猫头鹰,,孔雀 - 鸵鸟,,孔雀 - 猫头鹰,,0.649368376,0.592154026,0.350631624,0.407845974,công,,đà điểu,,cú,,công - đà điểu,0,công - cú,0,0.713981092,0.930042855,0.286018908,0.069957145
stairs,stairs,1491,attic,5729,balcony,7449,stairs - attic,132,stairs - balcony,60,0.53262803,0.532119542,0.46737197,0.467880458,楼梯,,阁楼,,阳台,,楼梯 - 阁楼,,楼梯 - 阳台,,0.377793312,0.430618525,0.622206688,0.569381475,cầu thang,,gác xép,,ban công,,cầu thang - gác xép,0,cầu thang - ban công,0,0.921381876,0.915360704,0.078618124,0.084639296
feather,feather,11419,beak,2668,talons,1123,feather - beak,10,feather - talons,0,0.468718708,0.638552815,0.531281292,0.361447185,羽毛,,喙,,爪,,羽毛 - 喙,,羽毛 - 爪,,0.584460706,0.736907452,0.415539294,0.263092548,lông vũ,,mỏ,,móng vuốt,,lông vũ - mỏ,0,lông vũ - móng vuốt,0,0.953680467,0.425218403,0.046319533,0.574781597
roof,roof,34005,patio,5571,gate,37317,roof - patio,36,roof - gate,26,0.572635472,0.726214021,0.427364528,0.273785979,屋顶,,露台,,大门,,屋顶 - 露台,,屋顶 - 大门,,0.43208164,0.639950216,0.56791836,0.360049784,mái nhà,,hiên,,cổng,,mái nhà - hiên,0,mái nhà - cổng,0,0.933382034,0.996778876,0.066617966,0.003221124
castle,castle,15330,throne,12528,tower,31252,castle - throne,17,castle - tower,133,0.601542294,0.471188605,0.398457706,0.528811395,城堡,,宝座,,堡垒,,城堡 - 宝座,,城堡 - 堡垒,,0.773940802,0.475562572,0.226059198,0.524437428,lâu đài,,ngai vàng,,tháp,,lâu đài - ngai vàng,0,lâu đài - tháp,0,0.646438777,0.811882645,0.353561223,0.188117355
elbow,elbow,15543,ankle,15182,knuckle,3923,elbow - ankle,38,elbow - knuckle,3,0.397900105,0.490374804,0.602099895,0.509625196,手肘,,脚踝,,指关节,,手肘 - 脚踝,,手肘 - 指关节,,0.538239717,0.582221121,0.461760283,0.417778879,khuỷu tay,,mắt cá,,đốt ngón tay,,khuỷu tay - mắt cá,0,khuỷu tay - đốt ngón tay,0,0.673544377,0.518511891,0.326455623,0.481488109
aunt,aunt,30364,grandmother,28091,sister,120346,aunt - grandmother,320,aunt - sister,546,0.140289247,0.243706346,0.859710753,0.756293654,姨母,,奶奶,,亲姐姐,,姨母 - 奶奶,,姨母 - 亲姐姐,,0.529750198,0.972367618,0.470249802,0.027632382,cô,,bà,,chị,,cô - bà,216,cô - chị,241,0.430576205,0.568287581,0.569423795,0.431712419
moon,moon,54069,planet,69822,asteroid,8179,moon - planet,651,moon - asteroid,115,0.545044452,0.588673621,0.454955548,0.411326379,月亮,,行星,,小行星,,月亮 - 行星,,月亮 - 小行星,,0.64085865,0.878337353,0.35914135,0.121662647,trăng,,hành tinh,,thiên thạch,,trăng - hành tinh,9,trăng - thiên thạch,0,0.755010962,0.681971371,0.244989038,0.318028629
witch,witch,15359,fairy,11276,magician,4454,witch - fairy,45,witch - magician,12,0.52640602,0.567072719,0.47359398,0.432927281,女巫,,仙女,,魔法师,,女巫 - 仙女,,女巫 - 魔法师,,0.573613197,0.444774508,0.426386803,0.555225492,phù thuỷ,,tiên,,nhà ảo thuật,,phù thuỷ - tiên,0,phù thuỷ - nhà ảo thuật,0,0.772165209,0.730676085,0.227834791,0.269323915
rainforest,rainforest,2584,oasis,2908,swamp,6725,rainforest - oasis,0,rainforest - swamp,5,0.656509876,0.579977691,0.343490124,0.420022309,雨林,,绿洲,,沼泽,,雨林 - 绿洲,,雨林 - 沼泽,,0.582876176,0.644330829,0.417123824,0.355669171,rừng nhiệt đới,,ốc đảo,,đầm lầy,,rừng nhiệt đới - ốc đảo,0,rừng nhiệt đới - đầm lầy,0,0.735382706,0.775235012,0.264617294,0.224764988
aquarium,aquarium,4135,canal,11850,dam,10959,aquarium - canal,3,aquarium - dam,0,0.746884763,0.795228258,0.253115237,0.204771742,水族馆,,运河,,大坝,,水族馆 - 运河,,水族馆 - 大坝,,0.56530273,0.635048926,0.43469727,0.364951074,bể cá,,kênh đào,,đập nước,,bể cá - kênh đào,0,bể cá - đập nước,0,0.92683199,1.029173961,0.07316801,-0.029173961
